log;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Modelname;round name;time;valid loss;valid ppl;ppl;;;;Valid  perplexity ;Dropout 0.0;Dropout 0.2;Dropout 0.4;Dropout 0.6;Dropout 0.8;;;;;;;;;;;;;;;;;;;
Model 2;40;11.91;4.36;77.97;28.66;;;;Epoch 29;4.48;4.28;4.28;4.31;4.68;;;;;;;;;;;;;;;;;;;
Model 3;1;10.9;5.52;250.85;604.67;;;;Epoch 30;4.48;4.28;4.28;4.31;4.67;;;;;;;;;;;;;;;;;;;
Model 3;2;12.3;4.98;146.08;198.34;;;;Epoch 31;4.48;4.28;4.28;4.31;4.67;;;;;;;;;;;;;;;;;;;
Model 3;3;12.36;4.78;119.45;136.44;;;;Epoch 32;4.48;4.28;4.28;4.3;4.67;;;;;;;;;;;;;;;;;;;
Model 3;4;12.47;4.65;104.49;109.96;;;;Epoch 33;4.48;4.28;4.28;4.3;4.66;;;;;;;;;;;;;;;;;;;
Model 3;5;12.57;4.59;98.14;94.83;;;;Epoch 34;4.48;4.28;4.28;4.3;4.66;;;;;;;;;;;;;;;;;;;
Model 3;6;11.64;4.53;92.39;84.96;;;;Epoch 35;4.48;4.28;4.28;4.3;4.65;;;;;;;;;;;;;;;;;;;
Model 3;7;11.55;4.51;90.49;77.86;;;;Epoch 36;4.48;4.28;4.28;4.3;4.65;;;;;;;;;;;;;;;;;;;
Model 3;8;11.63;4.46;86.12;72.32;;;;Epoch 37;4.48;4.28;4.28;4.3;4.65;;;;;;;;;;;;;;;;;;;
Model 3;9;11.61;4.44;84.7;68.16;;;;Epoch 38;4.48;4.28;4.28;4.3;4.65;;;;;;;;;;;;;;;;;;;
Model 3;10;11.68;4.42;82.76;63.91;;;;Epoch 39;4.48;4.28;4.28;4.3;4.64;;;;;;;;;;;;;;;;;;;
Model 3;11;11.64;4.4;81.15;60.83;;;;Epoch 40;4.48;4.28;4.28;4.3;4.64;;;;;;;;;;;;;;;;;;;
Model 3;12;11.69;4.38;80.05;57.94;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Model 3;13;11.72;4.37;79.18;55.48;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Model 3;14;11.67;4.35;77.83;52.56;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Model 3;15;11.67;4.36;78.15;50.74;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Model 3;16;11.74;4.3;73.92;44.59;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Model 3;17;11.74;4.3;73.49;42.01;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Model 3;18;11.79;4.29;73.28;40.46;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Model 3;19;11.75;4.29;73.04;39.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Model 3;20;11.77;4.29;73;38.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Model 3;21;11.82;4.29;73.25;38.04;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Model 3;22;11.74;4.28;72.5;36.73;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Model 3;23;11.79;4.28;72.51;36.09;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Model 3;24;11.86;4.28;72.22;35.64;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Model 3;25;11.76;4.28;72.12;35.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Model 3;26;11.74;4.28;72.03;35.74;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Model 3;27;11.82;4.28;72;35.47;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Model 3;28;11.76;4.28;72.03;35.55;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Model 3;29;11.75;4.28;72.02;35.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Model 3;30;11.83;4.28;72.02;35.13;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Model 3;31;11.79;4.28;72.01;35.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Model 3;32;11.78;4.28;72.01;35.24;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Model 3;33;11.8;4.28;72.01;35.12;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Model 3;34;11.86;4.28;72.01;35.03;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Model 3;35;11.93;4.28;72.01;35.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Model 3;36;11.79;4.28;72.01;35.39;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Model 3;37;11.79;4.28;72.01;35.08;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Model 3;38;11.84;4.28;72.01;35.04;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Model 3;39;11.8;4.28;72.01;35.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Model 3;40;11.8;4.28;72.01;35.21;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Model 4;1;10.9;5.39;218.21;584.42;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Model 4;2;12.14;5.03;152.47;210.76;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Model 4;3;12.31;4.85;127.32;155.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Model 4;4;12.26;4.75;115.51;131.47;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Model 4;5;12.33;4.66;105.44;116.62;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Model 4;6;11.5;4.6;99.5;106.81;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Model 4;7;11.34;4.55;94.61;100.66;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Model 4;8;11.47;4.54;93.23;94.88;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Model 4;9;11.47;4.5;90.38;91.17;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Model 4;10;11.41;4.48;88.58;87.68;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Model 4;11;11.48;4.46;86.33;84.94;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Model 4;12;11.44;4.45;85.79;82.51;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Model 4;13;11.45;4.42;83.36;80.09;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Model 4;14;11.45;4.42;83.09;78.71;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Model 4;15;11.5;4.42;82.92;77.42;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Model 4;16;11.47;4.4;81.36;75.56;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Model 4;17;11.53;4.4;81.22;73.77;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Model 4;18;11.5;4.41;82.07;73.19;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Model 4;19;11.52;4.34;77.09;67.33;;;;;;;;;;;;;;;;;;;;;;;;;;;;
